Customer ID,Name,Age,Gender,Email,Phone Number,Industry Sector,Number of Employees,Monthly Subscription Tier,Last Interaction Date,Total Spend (AED)
CUST0472,Velasquez-Long,44,Other,brittanygardner@saunders.com,501234567,Healthcare,694,Enterprise,8/20/2024,451888.75
CUST0023,Aguilar-Ferguson,57,Other,gibbsmichael@hotmail.com,509876543,Retail,416,Enterprise,2/8/2024,417693.96
CUST0158,Walker-Burgess,37,Female,dbrooks@chapman.com,505678923,Manufacturing,441,Enterprise,7/3/2024,305297.48
CUST0836,Kim Ltd,38,Female,carlos01@gmail.com,503456789,Healthcare,453,Enterprise,9/5/2024,110782.19
CUST0091,"Reynolds, Johnson and Mendez",48,Other,yvargas@bush.com,504567890,Manufacturing,675,Basic,5/30/2024,145474.27
CUST0547,"Long, Wilson and Bell",60,Other,lisamccarthy@yahoo.com,506543210,IT,344,Basic,6/11/2024,410119.61
CUST0332,"Taylor, Reyes and Lopez",33,Other,tracytaylor@wilkinson-harvey.com,502345678,Retail,231,Basic,10/2/2024,77940.21
CUST0748,Burns-Miller,20,Male,kellyhill@roberts.info,503456781,Healthcare,626,Basic,7/31/2024,230431
CUST0015,Fritz Inc,58,Other,nancy07@bailey-montoya.info,507654321,Manufacturing,736,Enterprise,11/11/2024,195069.34
CUST0924,Trujillo PLC,43,Male,candice25@hotmail.com,508765432,Manufacturing,672,Enterprise,4/6/2024,7744.68
CUST0187,"Long, Thomas and Chen",24,Female,ohayes@gmail.com,501234568,Manufacturing,181,Enterprise,3/25/2024,261389.09
CUST0613,Summers-Simpson,21,Other,matthew92@hotmail.com,502345679,Manufacturing,940,Basic,9/9/2024,230948.6
CUST0405,Moore-Cantu,47,Other,penajohn@yahoo.com,503456782,IT,573,Enterprise,7/20/2024,162062.49
CUST0862,"Wallace, Smith and Cooper",46,Other,ebenson@perez.com,509876544,IT,437,Enterprise,1/4/2024,225727.24
CUST0078,"Santos, Alexander and Bowen",28,Other,cjensen@miller.com,505678924,Healthcare,461,Premium,4/20/2024,377129.51
CUST0136,"Johnson, Boone and Liu",58,Female,juliephillips@bowers.info,503456780,IT,497,Enterprise,7/31/2024,123426.7
CUST0524,"Thompson, Ruiz and Archer",46,Male,matthewsalexander@williams.biz,507654322,Retail,241,Premium,3/19/2024,171244.53
